Rank,Team/NOC,Gold,Silver,Bronze,Total,Rank by Total,Discipline,Female,Male,Total Part,Name,Discipline,NOC,Event
1,United States of America,39,41,33,113,1,3x3 Basketball,32,32,64,Belgium,3x3 Basketball,Belgium,Men
2,People's Republic of China,38,32,18,88,2,Archery,64,64,128,China,3x3 Basketball,People's Republic of China,Men
3,Japan,27,14,17,58,5,Artistic Gymnastics,98,98,196,China,3x3 Basketball,People's Republic of China,Women
4,Great Britain,22,21,22,65,4,Artistic Swimming,105,0,105,France,3x3 Basketball,France,Women
5,ROC,20,28,23,71,3,Athletics,969,1072,2041,Italy,3x3 Basketball,Italy,Women
6,Australia,17,7,22,46,6,Badminton,86,87,173,Japan,3x3 Basketball,Japan,Men
7,Netherlands,10,12,14,36,9,Baseball/Softball,90,144,234,Japan,3x3 Basketball,Japan,Women
8,France,10,12,11,33,10,Basketball,144,144,288,Latvia,3x3 Basketball,Latvia,Men
9,Germany,10,11,16,37,8,Beach Volleyball,48,48,96,Mongolia,3x3 Basketball,Mongolia,Women
10,Italy,10,10,20,40,7,Boxing,102,187,289,Netherlands,3x3 Basketball,Netherlands,Men
11,Canada,7,6,11,24,11,Canoe Slalom,41,41,82,Poland,3x3 Basketball,Poland,Men
12,Brazil,7,6,8,21,12,Canoe Sprint,123,126,249,ROC,3x3 Basketball,ROC,Men
13,New Zealand,7,6,7,20,13,Cycling BMX Freestyle,10,9,19,ROC,3x3 Basketball,ROC,Women
14,Cuba,7,3,5,15,18,Cycling BMX Racing,24,24,48,Romania,3x3 Basketball,Romania,Women
15,Hungary,6,7,7,20,13,Cycling Mountain Bike,38,38,76,Serbia,3x3 Basketball,Serbia,Men
16,Republic of Korea,6,4,10,20,13,Cycling Road,70,131,201,United States,3x3 Basketball,United States of America,Women
17,Poland,4,5,5,14,19,Cycling Track,90,99,189,Australia,Archery,Australia,Men's Team
18,Czech Republic,4,4,3,11,23,Diving,72,71,143,Australia,Archery,Australia,Mixed Team
19,Kenya,4,4,2,10,25,Equestrian,73,125,198,Bangladesh,Archery,Bangladesh,Mixed Team
20,Norway,4,2,2,8,29,Fencing,107,108,215,Belarus,Archery,Belarus,Women's Team
21,Jamaica,4,1,4,9,26,Football,264,344,608,Brazil,Archery,Brazil,Mixed Team
22,Spain,3,8,6,17,17,Golf,60,60,120,Canada,Archery,Canada,Mixed Team
23,Sweden,3,6,0,9,26,Handball,168,168,336,China,Archery,People's Republic of China,Men's Team
24,Switzerland,3,4,6,13,20,Hockey,192,192,384,China,Archery,People's Republic of China,Mixed Team
25,Denmark,3,4,4,11,23,Judo,192,201,393,China,Archery,People's Republic of China,Women's Team
26,Croatia,3,3,2,8,29,Karate,40,42,82,Chinese Taipei,Archery,Chinese Taipei,Men's Team
27,Islamic Republic of Iran,3,2,2,7,33,Marathon Swimming,25,25,50,Chinese Taipei,Archery,Chinese Taipei,Mixed Team
28,Serbia,3,1,5,9,26,Modern Pentathlon,36,36,72,Chinese Taipei,Archery,Chinese Taipei,Women's Team
29,Belgium,3,1,3,7,33,Rhythmic Gymnastics,96,0,96,Colombia,Archery,Colombia,Mixed Team
30,Bulgaria,3,1,2,6,39,Rowing,257,265,522,Egypt,Archery,Egypt,Mixed Team
31,Slovenia,3,1,1,5,42,Rugby Sevens,146,151,297,France,Archery,France,Men's Team
32,Uzbekistan,3,0,2,5,42,Sailing,175,175,350,France,Archery,France,Mixed Team
33,Georgia,2,5,1,8,29,Shooting,178,178,356,Germany,Archery,Germany,Mixed Team
34,Chinese Taipei,2,4,6,12,22,Skateboarding,40,40,80,Germany,Archery,Germany,Women's Team
35,Turkey,2,2,9,13,20,Sport Climbing,20,20,40,Great Britain,Archery,Great Britain,Men's Team
36,Greece,2,1,1,4,47,Surfing,20,20,40,Great Britain,Archery,Great Britain,Mixed Team
36,Uganda,2,1,1,4,47,Swimming,361,418,779,Great Britain,Archery,Great Britain,Women's Team
38,Ecuador,2,1,0,3,60,Table Tennis,86,86,172,India,Archery,India,Men's Team
39,Ireland,2,0,2,4,47,Taekwondo,65,65,130,India,Archery,India,Mixed Team
39,Israel,2,0,2,4,47,Tennis,94,97,191,Indonesia,Archery,Indonesia,Men's Team
41,Qatar,2,0,1,3,60,Trampoline Gymnastics,16,16,32,Indonesia,Archery,Indonesia,Mixed Team
42,Bahamas,2,0,0,2,66,Triathlon,55,55,110,Italy,Archery,Italy,Mixed Team
42,Kosovo,2,0,0,2,66,Volleyball,144,144,288,Italy,Archery,Italy,Women's Team
44,Ukraine,1,6,12,19,16,Water Polo,122,146,268,Japan,Archery,Japan,Men's Team
45,Belarus,1,3,3,7,33,Weightlifting,98,99,197,Japan,Archery,Japan,Mixed Team
46,Romania,1,3,0,4,47,Wrestling,96,193,289,Japan,Archery,Japan,Women's Team
46,Venezuela,1,3,0,4,47,,,,,Kazakhstan,Archery,Kazakhstan,Men's Team
48,India,1,2,4,7,33,,,,,Malaysia,Archery,Malaysia,Mixed Team
49,"Hong Kong, China",1,2,3,6,39,,,,,Mexico,Archery,Mexico,Mixed Team
50,Philippines,1,2,1,4,47,,,,,Mexico,Archery,Mexico,Women's Team
50,Slovakia,1,2,1,4,47,,,,,Mongolia,Archery,Mongolia,Mixed Team
52,South Africa,1,2,0,3,60,,,,,Netherlands,Archery,Netherlands,Men's Team
53,Austria,1,1,5,7,33,,,,,Netherlands,Archery,Netherlands,Mixed Team
54,Egypt,1,1,4,6,39,,,,,Poland,Archery,Poland,Mixed Team
55,Indonesia,1,1,3,5,42,,,,,Rep. of Moldova,Archery,Republic of Moldova,Mixed Team
56,Ethiopia,1,1,2,4,47,,,,,Republic of Korea,Archery,Republic of Korea,Men's Team
56,Portugal,1,1,2,4,47,,,,,Republic of Korea,Archery,Republic of Korea,Mixed Team
58,Tunisia,1,1,0,2,66,,,,,Republic of Korea,Archery,Republic of Korea,Women's Team
59,Estonia,1,0,1,2,66,,,,,ROC,Archery,ROC,Mixed Team
59,Fiji,1,0,1,2,66,,,,,ROC,Archery,ROC,Women's Team
59,Latvia,1,0,1,2,66,,,,,Spain,Archery,Spain,Mixed Team
59,Thailand,1,0,1,2,66,,,,,Tunisia,Archery,Tunisia,Mixed Team
63,Bermuda,1,0,0,1,77,,,,,Turkey,Archery,Turkey,Mixed Team
63,Morocco,1,0,0,1,77,,,,,Ukraine,Archery,Ukraine,Mixed Team
63,Puerto Rico,1,0,0,1,77,,,,,Ukraine,Archery,Ukraine,Women's Team
66,Colombia,0,4,1,5,42,,,,,United States,Archery,United States of America,Men's Team
67,Azerbaijan,0,3,4,7,33,,,,,United States,Archery,United States of America,Mixed Team
68,Dominican Republic,0,3,2,5,42,,,,,United States,Archery,United States of America,Women's Team
69,Armenia,0,2,2,4,47,,,,,Vietnam,Archery,Vietnam,Mixed Team
70,Kyrgyzstan,0,2,1,3,60,,,,,Belgium,Artistic Gymnastics,Belgium,Women's Team
71,Mongolia,0,1,3,4,47,,,,,Brazil,Artistic Gymnastics,Brazil,Men's Team
72,Argentina,0,1,2,3,60,,,,,Canada,Artistic Gymnastics,Canada,Women's Team
72,San Marino,0,1,2,3,60,,,,,China,Artistic Gymnastics,People's Republic of China,Men's Team
74,Jordan,0,1,1,2,66,,,,,China,Artistic Gymnastics,People's Republic of China,Women's Team
74,Malaysia,0,1,1,2,66,,,,,Chinese Taipei,Artistic Gymnastics,Chinese Taipei,Men's Team
74,Nigeria,0,1,1,2,66,,,,,France,Artistic Gymnastics,France,Women's Team
77,Bahrain,0,1,0,1,77,,,,,Germany,Artistic Gymnastics,Germany,Men's Team
77,Saudi Arabia,0,1,0,1,77,,,,,Germany,Artistic Gymnastics,Germany,Women's Team
77,Lithuania,0,1,0,1,77,,,,,Great Britain,Artistic Gymnastics,Great Britain,Men's Team
77,North Macedonia,0,1,0,1,77,,,,,Great Britain,Artistic Gymnastics,Great Britain,Women's Team
77,Namibia,0,1,0,1,77,,,,,Italy,Artistic Gymnastics,Italy,Women's Team
77,Turkmenistan,0,1,0,1,77,,,,,Japan,Artistic Gymnastics,Japan,Men's Team
83,Kazakhstan,0,0,8,8,29,,,,,Japan,Artistic Gymnastics,Japan,Women's Team
84,Mexico,0,0,4,4,47,,,,,Netherlands,Artistic Gymnastics,Netherlands,Women's Team
85,Finland,0,0,2,2,66,,,,,Korea,Artistic Gymnastics,Republic of Korea,Men's Team
86,Botswana,0,0,1,1,77,,,,,ROC,Artistic Gymnastics,ROC,Men's Team
86,Burkina Faso,0,0,1,1,77,,,,,ROC,Artistic Gymnastics,ROC,Women's Team
86,Côte d'Ivoire,0,0,1,1,77,,,,,Spain,Artistic Gymnastics,Spain,Men's Team
86,Ghana,0,0,1,1,77,,,,,Spain,Artistic Gymnastics,Spain,Women's Team
86,Grenada,0,0,1,1,77,,,,,Switzerland,Artistic Gymnastics,Switzerland,Men's Team
86,Kuwait,0,0,1,1,77,,,,,Ukraine,Artistic Gymnastics,Ukraine,Men's Team
86,Republic of Moldova,0,0,1,1,77,,,,,United States,Artistic Gymnastics,United States of America,Men's Team
86,Syrian Arab Republic,0,0,1,1,77,,,,,United States,Artistic Gymnastics,United States of America,Women's Team
,,,,,,,,,,,Australia,Artistic Swimming,Australia,Duet
,,,,,,,,,,,Australia,Artistic Swimming,Australia,Team
,,,,,,,,,,,Austria,Artistic Swimming,Austria,Duet
,,,,,,,,,,,Belarus,Artistic Swimming,Belarus,Duet
,,,,,,,,,,,Canada,Artistic Swimming,Canada,Duet
,,,,,,,,,,,Canada,Artistic Swimming,Canada,Team
,,,,,,,,,,,China,Artistic Swimming,People's Republic of China,Duet
,,,,,,,,,,,China,Artistic Swimming,People's Republic of China,Team
,,,,,,,,,,,Colombia,Artistic Swimming,Colombia,Duet
,,,,,,,,,,,Egypt,Artistic Swimming,Egypt,Duet
,,,,,,,,,,,Egypt,Artistic Swimming,Egypt,Team
,,,,,,,,,,,France,Artistic Swimming,France,Duet
,,,,,,,,,,,Great Britain,Artistic Swimming,Great Britain,Duet
,,,,,,,,,,,Greece,Artistic Swimming,Greece,Duet
,,,,,,,,,,,Greece,Artistic Swimming,Greece,Team
,,,,,,,,,,,Israel,Artistic Swimming,Israel,Duet
,,,,,,,,,,,Italy,Artistic Swimming,Italy,Duet
,,,,,,,,,,,Italy,Artistic Swimming,Italy,Team
,,,,,,,,,,,Japan,Artistic Swimming,Japan,Duet
,,,,,,,,,,,Japan,Artistic Swimming,Japan,Team
,,,,,,,,,,,Kazakhstan,Artistic Swimming,Kazakhstan,Duet
,,,,,,,,,,,Liechtenstein,Artistic Swimming,Liechtenstein,Duet
,,,,,,,,,,,Mexico,Artistic Swimming,Mexico,Duet
,,,,,,,,,,,Netherlands,Artistic Swimming,Netherlands,Duet
,,,,,,,,,,,ROC,Artistic Swimming,ROC,Duet
,,,,,,,,,,,ROC,Artistic Swimming,ROC,Team
,,,,,,,,,,,South Africa,Artistic Swimming,South Africa,Duet
