Rank,Team/NOC,Silver,Bronze,Total,Rank by Total,Discipline,Female,Male,Total
1,United States of America,41,33,113,1,3x3 Basketball,32,32,64
2,People's Republic of China,32,18,88,2,Archery,64,64,128
3,Japan,14,17,58,5,Artistic Gymnastics,98,98,196
4,Great Britain,21,22,65,4,Artistic Swimming,105,0,105
5,ROC,28,23,71,3,Athletics,969,1072,2041
6,Australia,7,22,46,6,Badminton,86,87,173
7,Netherlands,12,14,36,9,Baseball/Softball,90,144,234
8,France,12,11,33,10,Basketball,144,144,288
9,Germany,11,16,37,8,Beach Volleyball,48,48,96
10,Italy,10,20,40,7,Boxing,102,187,289
11,Canada,6,11,24,11,Canoe Slalom,41,41,82
12,Brazil,6,8,21,12,Canoe Sprint,123,126,249
13,New Zealand,6,7,20,13,Cycling BMX Freestyle,10,9,19
14,Cuba,3,5,15,18,Cycling BMX Racing,24,24,48
15,Hungary,7,7,20,13,Cycling Mountain Bike,38,38,76
16,Republic of Korea,4,10,20,13,Cycling Road,70,131,201
17,Poland,5,5,14,19,Cycling Track,90,99,189
18,Czech Republic,4,3,11,23,Diving,72,71,143
19,Kenya,4,2,10,25,Equestrian,73,125,198
20,Norway,2,2,8,29,Fencing,107,108,215
21,Jamaica,1,4,9,26,Football,264,344,608
22,Spain,8,6,17,17,Golf,60,60,120
23,Sweden,6,0,9,26,Handball,168,168,336
24,Switzerland,4,6,13,20,Hockey,192,192,384
25,Denmark,4,4,11,23,Judo,192,201,393
26,Croatia,3,2,8,29,Karate,40,42,82
27,Islamic Republic of Iran,2,2,7,33,Marathon Swimming,25,25,50
28,Serbia,1,5,9,26,Modern Pentathlon,36,36,72
29,Belgium,1,3,7,33,Rhythmic Gymnastics,96,0,96
30,Bulgaria,1,2,6,39,Rowing,257,265,522
31,Slovenia,1,1,5,42,Rugby Sevens,146,151,297
32,Uzbekistan,0,2,5,42,Sailing,175,175,350
33,Georgia,5,1,8,29,Shooting,178,178,356
34,Chinese Taipei,4,6,12,22,Skateboarding,40,40,80
35,Turkey,2,9,13,20,Sport Climbing,20,20,40
36,Greece,1,1,4,47,Surfing,20,20,40
36,Uganda,1,1,4,47,Swimming,361,418,779
38,Ecuador,1,0,3,60,Table Tennis,86,86,172
39,Ireland,0,2,4,47,Taekwondo,65,65,130
39,Israel,0,2,4,47,Tennis,94,97,191
41,Qatar,0,1,3,60,Trampoline Gymnastics,16,16,32
42,Bahamas,0,0,2,66,Triathlon,55,55,110
42,Kosovo,0,0,2,66,Volleyball,144,144,288
44,Ukraine,6,12,19,16,Water Polo,122,146,268
45,Belarus,3,3,7,33,Weightlifting,98,99,197
46,Romania,3,0,4,47,Wrestling,96,193,289
46,Venezuela,3,0,4,47,,,,
48,India,2,4,7,33,,,,
49,"Hong Kong, China",2,3,6,39,,,,
50,Philippines,2,1,4,47,,,,
50,Slovakia,2,1,4,47,,,,
52,South Africa,2,0,3,60,,,,
53,Austria,1,5,7,33,,,,
54,Egypt,1,4,6,39,,,,
55,Indonesia,1,3,5,42,,,,
56,Ethiopia,1,2,4,47,,,,
56,Portugal,1,2,4,47,,,,
58,Tunisia,1,0,2,66,,,,
59,Estonia,0,1,2,66,,,,
59,Fiji,0,1,2,66,,,,
59,Latvia,0,1,2,66,,,,
59,Thailand,0,1,2,66,,,,
63,Bermuda,0,0,1,77,,,,
63,Morocco,0,0,1,77,,,,
63,Puerto Rico,0,0,1,77,,,,
66,Colombia,4,1,5,42,,,,
67,Azerbaijan,3,4,7,33,,,,
68,Dominican Republic,3,2,5,42,,,,
69,Armenia,2,2,4,47,,,,
70,Kyrgyzstan,2,1,3,60,,,,
71,Mongolia,1,3,4,47,,,,
72,Argentina,1,2,3,60,,,,
72,San Marino,1,2,3,60,,,,
74,Jordan,1,1,2,66,,,,
74,Malaysia,1,1,2,66,,,,
74,Nigeria,1,1,2,66,,,,
77,Bahrain,1,0,1,77,,,,
77,Saudi Arabia,1,0,1,77,,,,
77,Lithuania,1,0,1,77,,,,
77,North Macedonia,1,0,1,77,,,,
77,Namibia,1,0,1,77,,,,
77,Turkmenistan,1,0,1,77,,,,
83,Kazakhstan,0,8,8,29,,,,
84,Mexico,0,4,4,47,,,,
85,Finland,0,2,2,66,,,,
86,Botswana,0,1,1,77,,,,
86,Burkina Faso,0,1,1,77,,,,
86,Côte d'Ivoire,0,1,1,77,,,,
86,Ghana,0,1,1,77,,,,
86,Grenada,0,1,1,77,,,,
86,Kuwait,0,1,1,77,,,,
86,Republic of Moldova,0,1,1,77,,,,
86,Syrian Arab Republic,0,1,1,77,,,,
